,Title,Location,Start_Date,End_Date,Filter,URL
13,Goldwater Getting Started,Harper Elliott 320,2023-04-5 15:30:00,2023-04-5 16:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D792681779
14,Get in Touch with Metals and Minerals,McKissick Museum,2023-04-5 17:30:00,2023-04-5 19:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D782775627
15,Student Senate Weekly Session,Russell House Theater,2023-04-5 17:30:00,2023-04-5 20:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D754461714
16,All Recovery,Strom Thurmond Wellness & Fitness Ctr 301D,2023-04-5 18:00:00,2023-04-5 19:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D773843972
17,Natalie Diaz speaks about her work,Location TBD,2023-04-5 18:00:00,2023-04-5 19:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D705724859
18,Student Nutrition Group Weekly Meetings,Russell House University Union 302,2023-04-5 18:30:00,2023-04-5 19:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D821617069
19,Last Lecture: Dr. April Hiscox,Harper Elliott 320,2023-04-5 19:00:00,2023-04-5 20:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D796819445
20,Halo Week Celsius Sale,RHUU Greene Street Space 01,2023-04-7 10:00:00,2023-04-7 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D844758434
21,South Carolina Honors College Admitted Student Panel,Harper Elliott 320,2023-04-7 10:00:00,2023-04-7 11:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D783447926
22,Accelerated MIB Virtual Information Session,See Description for Event Location.,2023-04-7 11:00:00,2023-04-7 12:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D848029299
